94,99,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,99,94,99,
94,99,99,99,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,99,99,94,99,
94,94,94,99,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,99,94,94,99,
99,99,94,99,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,99,99,94,99,99,
25,99,94,99,99,99,99,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,99,94,94,99,25,
25,99,94,94,94,94,99,25,25,25,25,99,99,99,99,99,99,99,25,25,25,25,25,25,25,99,94,99,99,25,
25,99,99,99,99,94,99,99,99,99,99,99,94,94,94,94,94,99,99,99,99,99,99,99,99,99,94,99,25,25,
25,25,25,25,99,94,94,94,94,94,94,94,94,99,99,99,94,94,94,94,94,94,94,94,94,94,94,99,25,25,
25,25,25,25,99,99,99,99,99,99,99,99,99,99,25,99,99,99,99,99,99,99,99,99,99,99,99,99,25,25,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
